,Quarter,Institute,Country,Currency,ECL Stage 1,ECL Stage 2,ECL Stage 3,ECL POCI,ECL Performing,ECL Default,ECL Total,EAD Stage 1,EAD Stage 2,EAD Stage 3,EAD POCI,EAD Performing,EAD Default,EAD Total,Unnamed: 18,NPL Ratio,Coverage Ratio Performing,Coverage Ratio Default,Coverage Ratio Total,Share S1 (EAD),Share S2 (EAD),Share S3/Poci (EAD),Unnamed: 26,Exchange Rate,FCCY
73,2020-12-31,HVB,DEU,EUR,112.0,447.0,1351.0,0.0,559.0,1351.0,1910.0,119903.0,22903.0,3324.0,27.0,142806.0,3351.0,146157.0,,0.022927399987684477,0.003914401355685335,0.40316323485526706,0.013068139055946688,0.8203712446205108,0.15670135539180471,0.022927399987684477,,,
74,2017-12-31,Deka,DEU,EUR,8.0,19.0,95.0,0.0,27.0,95.0,122.0,15515.0,535.0,237.0,0.0,16050.0,237.0,16287.0,,0.014551482777675446,0.0016822429906542056,0.4008438818565401,0.00749063670411985,0.9526002333149137,0.03284828390741082,0.014551482777675446,,,
75,2018-12-31,Deka,DEU,EUR,9.0,12.0,63.0,0.0,21.0,63.0,84.0,18086.0,674.0,158.0,0.0,18760.0,158.0,18918.0,,0.008351834231948409,0.001119402985074627,0.3987341772151899,0.004440215667618141,0.9560207210064489,0.035627444761602706,0.008351834231948409,,,
76,2019-12-31,Deka,DEU,EUR,9.3,8.0,72.0,0.0,17.3,72.0,89.3,21969.4,956.4,186.2,0.0,22925.800000000003,186.2,23112.000000000004,,0.008056420906888195,0.0007546083451831561,0.3866809881847476,0.0038637937002422977,0.9505624783662165,0.04138110072689511,0.008056420906888195,,,
77,2020-12-31,Deka,DEU,EUR,10.5,51.9,123.0,0.0,62.4,123.0,185.4,16006.7,4795.7,506.2,0.0,20802.4,506.2,21308.600000000002,,0.023755666726110583,0.0029996538860900665,0.24298696167522718,0.00870071238842533,0.7511849675717784,0.22505936570211085,0.023755666726110583,,,
78,2017-12-31,BNP,FR,EUR,1422.0,3626.0,22362.0,0.0,5048.0,22362.0,27410.0,631760.0,89413.0,37413.0,0.0,721173.0,37413.0,758586.0,,0.049319391604907024,0.006999707421104229,0.5977066794964317,0.03613301590063618,0.8328126277047032,0.11786798069038976,0.049319391604907024,,,
79,2018-06-30,BNP,FR,EUR,1412.0,3317.0,21580.0,0.0,4729.0,21580.0,26309.0,652040.0,85459.0,36609.0,0.0,737499.0,36609.0,774108.0,,0.04729185074950782,0.006412212084355369,0.58947253407632,0.03398621380995934,0.8423114087439996,0.11039674050649263,0.04729185074950782,,,
80,2018-12-31,BNP,FR,EUR,1515.0,3231.0,19335.0,0.0,4746.0,19335.0,24081.0,668667.0,87328.0,33957.0,0.0,755995.0,33957.0,789952.0,,0.04298615612087823,0.0062778192977466785,0.569396589804753,0.030484130681357854,0.8464653548570039,0.1105484890221178,0.04298615612087823,,,
81,2019-06-30,BNP,FR,EUR,1522.0,3115.0,18534.0,0.0,4637.0,18534.0,23171.0,699941.0,84328.0,32862.0,0.0,784269.0,32862.0,817131.0,,0.0402163178241922,0.005912512161005981,0.5639948877122513,0.028356530348255055,0.8565835832932541,0.10320009888255371,0.0402163178241922,,,
82,2019-12-31,BNP,FR,EUR,1600.0,3100.0,16476.0,0.0,4700.0,16476.0,21176.0,719160.0,78005.0,29788.0,0.0,797165.0,29788.0,826953.0,,0.036021394202572575,0.005895893572848783,0.5531086343494025,0.025607259421031182,0.8696503912556095,0.09432821454181797,0.036021394202572575,,,
83,2020-06-30,BNP,FR,EUR,2014.0,3215.0,17004.0,0.0,5229.0,17004.0,22233.0,737521.0,81573.0,31192.0,0.0,819094.0,31192.0,850286.0,,0.03668412745829051,0.00638388268013195,0.5451397794306232,0.02614767266543257,0.8673799168750279,0.09593595566668156,0.03668412745829051,,,
84,2020-12-31,BNP,FR,EUR,2303.0,3101.0,16042.0,0.0,5404.0,16042.0,21446.0,707664.0,93244.0,30071.0,0.0,800908.0,30071.0,830979.0,,0.03618743674629563,0.006747341767094348,0.5334707858069236,0.025808113081076656,0.8516027480838866,0.11220981516981778,0.03618743674629563,,,
85,2018-12-31,CA,FR,EUR,1800.0,3715.0,13960.0,0.0,5515.0,13960.0,19475.0,785415.0,65693.0,23048.0,0.0,851108.0,23048.0,874156.0,,0.02636600332206151,0.006479788698966524,0.6056924678930927,0.02227863218922023,0.898483794654501,0.07515020202343746,0.02636600332206151,,,
86,2019-06-30,CA,FR,EUR,1783.0,3757.0,13796.0,0.0,5540.0,13796.0,19336.0,817455.0,62846.0,23099.0,0.0,880301.0,23099.0,903400.0,,0.025568961700243524,0.006293301950128422,0.597255292436902,0.021403586451184415,0.9048649546158956,0.06956608368386097,0.025568961700243524,,,
87,2019-12-31,CA,FR,EUR,1776.0,3653.0,13561.0,0.0,5429.0,13561.0,18990.0,845325.0,64163.0,22999.0,0.0,909488.0,22999.0,932487.0,,0.024664150813898746,0.005969292612986648,0.589634331927475,0.02036489516743933,0.9065273832235731,0.06880846596252817,0.024664150813898746,,,
88,2020-06-30,CA,FR,EUR,2251.0,3886.0,13991.0,0.0,6137.0,13991.0,20128.0,884001.0,67386.0,23815.0,0.0,951387.0,23815.0,975202.0,,0.024420581582072227,0.0064505821500609115,0.5874868780180559,0.020639826415450337,0.9064798882693021,0.06909953014862562,0.024420581582072227,,,
89,2020-12-31,CA,FR,EUR,2348.0,4354.0,12884.0,0.0,6702.0,12884.0,19586.0,889620.0,72129.0,23326.0,0.0,961749.0,23326.0,985075.0,,0.02367941527294876,0.0069685541653799485,0.5523450227214267,0.019882750044412863,0.9030987488262315,0.07322183590081974,0.02367941527294876,,,
90,2017-12-31,SocGen,FR,EUR,982.0,1217.0,1162.0,0.0,,,,,,,,,,430398.0,,,,,,0.0,0.0,0.0,,,
91,2018-06-30,SocGen,FR,EUR,968.0,1123.0,10758.0,0.0,,,,,,,,,,439600.0,,,,,,0.0,0.0,0.0,,,
92,2018-12-31,SocGen,FR,EUR,,,,,1687.0,9748.0,11435.0,,,,,440509.0,17818.0,458327.0,,0.038876173561671036,0.0038296606879768633,0.547087215175665,0.024949435664929187,0.0,0.0,0.0,,,
93,2019-06-30,SocGen,FR,EUR,,,,,1651.0,9499.0,11150.0,,,,,432047.0,16877.0,448924.0,,0.03759433668059627,0.0038213435112383607,0.5628369970966404,0.02483716620185154,0.0,0.0,0.0,,,
94,2019-12-31,SocGen,FR,EUR,,,,,1695.0,9032.0,10727.0,,,,,444611.0,15976.0,460587.0,,0.03468617221067898,0.0038123213325806154,0.5653480220330496,0.02328984534952137,0.0,0.0,0.0,,,
95,2020-06-30,SocGen,FR,EUR,,,,,2367.0,9637.0,12004.0,,,,,452578.0,17459.0,470037.0,,0.03714388441760968,0.005230037695159729,0.5519789220459362,0.02553841506094201,0.0,0.0,0.0,,,
96,2020-12-31,SocGen,FR,EUR,,,,,2668.0,8933.0,11601.0,,,,,443126.0,16807.0,459933.0,,0.03654227898411291,0.006020860883811828,0.5315047301719522,0.02522323903699017,0.0,0.0,0.0,,,
97,2017-12-31,BPCE,FR,EUR,183.0,497.0,3111.0,,,,,115693.0,54537.0,9352.0,,,,,,,,,,,,,,,
98,2018-06-30,BPCE,FR,EUR,152.0,397.0,2783.0,174.0,549.0,2957.0,3506.0,134691.0,36529.0,6011.0,605.0,171220.0,6616.0,177836.0,,0.03720281607773454,0.003206401121364327,0.4469467956469166,0.01971479340515981,0.7573888301581232,0.20540835376414224,0.03720281607773454,,,
99,2018-12-31,BPCE,FR,EUR,142.0,345.0,2538.0,97.0,487.0,2635.0,3122.0,136491.0,35641.0,7714.0,279.0,172132.0,7993.0,180125.0,,0.04437473976405274,0.0028292240838426325,0.3296634555235831,0.017332408049965303,0.7577571131158918,0.19786814712005552,0.04437473976405274,,,
100,2019-06-30,BPCE,FR,EUR,150.0,341.0,2455.0,83.0,491.0,2538.0,3029.0,139284.0,32956.0,7302.0,271.0,172240.0,7573.0,179813.0,,0.042115976041776734,0.0028506734788666978,0.33513799022844315,0.016845278150078136,0.774604728245455,0.18327929571276827,0.042115976041776734,,,
101,2019-12-31,BPCE,FR,EUR,181.0,334.0,2471.0,357.0,515.0,2828.0,3343.0,140294.0,32198.0,7418.0,711.0,172492.0,8129.0,180621.0,,0.0450058409597998,0.0029856457111054426,0.34789026940583095,0.018508368351409857,0.7767313878231213,0.17826277121707887,0.0450058409597998,,,
102,2020-06-30,BPCE,FR,EUR,241.0,342.0,2722.0,392.0,583.0,3114.0,3697.0,139878.0,29869.0,8941.0,762.0,169747.0,9703.0,179450.0,,0.054070771802730566,0.003434523143266155,0.32093167061733485,0.020601838952354415,0.7794817497910281,0.1664474784062413,0.054070771802730566,,,
103,2020-12-31,BPCE,FR,EUR,242.0,435.0,2572.0,84.0,677.0,2656.0,3333.0,136153.0,30023.0,7969.0,399.0,166176.0,8368.0,174544.0,,0.047942066183884864,0.004073993837858656,0.3173996175908222,0.01909547162893024,0.7800497295810799,0.1720082042350353,0.047942066183884864,,,
104,2017-12-31,UniCredit,ITA,EUR,,,,,2015.0,27240.0,29255.0,,,,,428550.0,48432.0,476982.0,,0.10153842283356605,0.004701901761754754,0.5624380574826561,0.061333551370911274,0.0,0.0,0.0,,,
105,2018-06-30,UniCredit,ITA,EUR,,,,,2578.0,25911.0,28489.0,,,,,442299.0,42482.0,484781.0,,0.08763132218465658,0.005828636284504374,0.6099289110682171,0.058766742095915474,0.0,0.0,0.0,,,
106,2018-12-31,UniCredit,ITA,EUR,,,,,2604.0,23253.0,25857.0,,,,,457104.0,38118.0,495222.0,,0.07697154003658965,0.005696734222408905,0.6100267590114906,0.052212946920774925,0.0,0.0,0.0,,,
107,2019-06-30,UniCredit,ITA,EUR,,,,,2711.0,20913.0,23624.0,,,,,455682.0,34316.0,489998.0,,0.07003293890995474,0.005949324309496535,0.6094241753118079,0.04821244168343544,0.0,0.0,0.0,,,
108,2019-12-31,UniCredit,ITA,EUR,,,,,2613.0,16412.0,19025.0,,,,,473560.0,25166.0,498726.0,,0.05046057354138345,0.005517780217923811,0.6521497258205515,0.038147199063213066,0.0,0.0,0.0,,,
109,2020-06-30,UniCredit,ITA,EUR,,,,,3700.0,14754.0,18454.0,,,,,471694.0,23553.0,495247.0,,0.04755808717670173,0.00784406840027645,0.6264170169405171,0.03726221461210265,0.0,0.0,0.0,,,
110,2020-12-31,UniCredit,ITA,EUR,,,,,4152.0,12635.0,16787.0,,,,,444390.0,21132.0,465522.0,,0.04539420263703971,0.009343144535205563,0.5979083853870907,0.03606059434355412,0.0,0.0,0.0,,,
111,2017-12-31,Intesa Sanpaolo,ITA,EUR,,,,,2417.0,29483.0,31900.0,,,,,373254.0,39378.0,412632.0,,0.0954312801721631,0.006475483183033538,0.7487175580273249,0.07730859458306676,0.0,0.0,0.0,,,
112,2018-06-30,Intesa Sanpaolo,ITA,EUR,,,,,2160.0,21068.0,23228.0,,,,,377780.0,22456.0,400236.0,,0.05610689693081082,0.005717613425803378,0.9381902386889918,0.05803575890224767,0.0,0.0,0.0,,,
113,2018-12-31,Intesa Sanpaolo,ITA,EUR,,,,,2105.0,19865.0,21970.0,,,,,373435.0,36396.0,409831.0,,0.08880733765869346,0.00563685781996867,0.5458017364545554,0.05360746258823759,0.0,0.0,0.0,,,
114,2019-06-30,Intesa Sanpaolo,ITA,EUR,,,,,1991.0,18800.0,20791.0,,,,,373898.0,34724.0,408622.0,,0.0849782928966135,0.005324981679495478,0.5414122796912798,0.050880765108095014,0.0,0.0,0.0,,,
115,2019-12-31,Intesa Sanpaolo,ITA,EUR,,,,,1697.0,17062.0,18759.0,,,,,376119.0,31257.0,407376.0,,0.07672764227642276,0.004511869913511415,0.545861726973158,0.04604836809237658,0.0,0.0,0.0,,,
116,2020-06-30,Intesa Sanpaolo,ITA,EUR,,,,,2191.0,15827.0,18018.0,,,,,384513.0,29809.0,414322.0,,0.07194645710341233,0.005698116838702463,0.5309470294206448,0.04348791519639315,0.0,0.0,0.0,,,
117,2020-12-31,Intesa Sanpaolo,ITA,EUR,793.0,2014.0,,,2807.0,10132.0,12939.0,374305.0,71037.0,,,445342.0,20818.0,466160.0,,0.044658486356615755,0.0063030210489915615,0.4866942069363051,0.027756564269778617,0.8029539214003776,0.1523875922430067,0.0,,,
118,2017-12-31,Banca BPM,ITA,EUR,,,,,303.0,12408.0,12711.0,,,,,95018.0,25435.0,120453.0,,0.21116119980407297,0.003188869477362184,0.4878317279339493,0.10552663694553062,0.0,0.0,0.0,,,
119,2018-06-30,Banca BPM,ITA,EUR,,,,,397.0,9945.0,10342.0,,,,,97635.0,19438.0,117073.0,,0.1660331587983566,0.004066164797459928,0.5116267105669308,0.088338045492983,0.0,0.0,0.0,,,
120,2018-12-31,Banca BPM,ITA,EUR,,,,,371.0,5087.0,5458.0,,,,,97659.0,11814.0,109473.0,,0.10791702063522512,0.0037989330220460993,0.43059082444557306,0.04985704237574562,0.0,0.0,0.0,,,
121,2019-06-30,Banca BPM,ITA,EUR,,,,,364.0,4473.0,4837.0,,,,,99237.0,10663.0,109900.0,,0.097024567788899,0.0036679867388171752,0.4194879489824627,0.04401273885350319,0.0,0.0,0.0,,,
122,2019-12-31,Banca BPM,ITA,EUR,,,,,330.0,4542.0,4872.0,,,,,100631.0,10087.0,110718.0,,0.09110533065987464,0.0032793075692381076,0.4502825418855953,0.044003685037663255,0.0,0.0,0.0,,,
123,2020-06-30,Banca BPM,ITA,EUR,,,,,442.0,4439.0,4881.0,,,,,103431.0,9839.0,113270.0,,0.08686324710867838,0.004273380321180304,0.45116373615204797,0.04309172773020217,0.0,0.0,0.0,,,
